wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName,contentAdvisoryRating,collectionArtistViewUrl
track,song,382876655,1595927679,1595927699,Walker Hayes,Country Stuff The Album,AA,Country Stuff The Album,AA,https://music.apple.com/us/artist/walker-hayes/382876655?uo=4,https://music.apple.com/us/album/aa/1595927679?i=1595927699&uo=4,https://music.apple.com/us/album/aa/1595927679?i=1595927699&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/0c/4a/28/0c4a2815-f08e-f50f-7aa5-2c448b25df0e/mzaf_4170189522170226288.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7d/66/4c/7d664ceb-ae82-0645-4996-daf2f543e7b3/886449714209.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7d/66/4c/7d664ceb-ae82-0645-4996-daf2f543e7b3/886449714209.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7d/66/4c/7d664ceb-ae82-0645-4996-daf2f543e7b3/886449714209.jpg/100x100bb.jpg,9.99,1.29,2021-11-19T08:00:00Z,notExplicit,notExplicit,1,1,13,2,189560,USA,USD,Country,True,,,,
track,song,301655537,1706571915,1706572276,"Roach Killa, Arif Lohar & Deep Jandu",Aa - Single,Aa,Aa - Single,Aa,https://music.apple.com/us/artist/roach-killa/301655537?uo=4,https://music.apple.com/us/album/aa/1706571915?i=1706572276&uo=4,https://music.apple.com/us/album/aa/1706571915?i=1706572276&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/cf/d2/ff/cfd2ff3e-5830-5ca8-8a14-ab12f3448198/mzaf_12931783434377720349.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/24/67/ae/2467ae95-16c3-71cb-9eb1-5016d9e71ec6/795152930670_cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/24/67/ae/2467ae95-16c3-71cb-9eb1-5016d9e71ec6/795152930670_cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/24/67/ae/2467ae95-16c3-71cb-9eb1-5016d9e71ec6/795152930670_cover.jpg/100x100bb.jpg,1.29,1.29,2023-12-14T12:00:00Z,notExplicit,notExplicit,1,1,1,1,190393,USA,USD,Worldbeat,True,,,,
track,song,262836961,1544494115,1544494392,Adele,25,Hello,25,Hello,https://music.apple.com/us/artist/adele/262836961?uo=4,https://music.apple.com/us/album/hello/1544494115?i=1544494392&uo=4,https://music.apple.com/us/album/hello/1544494115?i=1544494392&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/93/22/22/93222271-8d55-d923-e0ff-b2964a5abefe/mzaf_3513742103157153222.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/8c/24/088c2405-2e33-801b-5c38-e967f2c01e69/191404113974.png/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/8c/24/088c2405-2e33-801b-5c38-e967f2c01e69/191404113974.png/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/8c/24/088c2405-2e33-801b-5c38-e967f2c01e69/191404113974.png/100x100bb.jpg,10.99,1.29,2015-10-23T07:00:00Z,notExplicit,notExplicit,1,1,11,1,295502,USA,USD,Pop,True,,,,
track,song,262836961,1590035691,1590036021,Adele,30,Easy On Me,30,Easy On Me,https://music.apple.com/us/artist/adele/262836961?uo=4,https://music.apple.com/us/album/easy-on-me/1590035691?i=1590036021&uo=4,https://music.apple.com/us/album/easy-on-me/1590035691?i=1590036021&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/75/28/56/75285676-dbce-d91d-7b36-070084a3546b/mzaf_5286200244455841527.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/73/6d/7c/736d7cfb-c79d-c9a9-4170-5e71d008dea1/886449666430.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/73/6d/7c/736d7cfb-c79d-c9a9-4170-5e71d008dea1/886449666430.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/73/6d/7c/736d7cfb-c79d-c9a9-4170-5e71d008dea1/886449666430.jpg/100x100bb.jpg,10.99,1.29,2021-10-14T07:00:00Z,notExplicit,notExplicit,1,1,12,2,224695,USA,USD,Pop,True,,,,
track,song,526199085,1067924003,1067924291,Baauer,Aa,Aa,Aa,Aa,https://music.apple.com/us/artist/baauer/526199085?uo=4,https://music.apple.com/us/album/aa/1067924003?i=1067924291&uo=4,https://music.apple.com/us/album/aa/1067924003?i=1067924291&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8f/2b/1e/8f2b1ed3-8873-55b0-9c6c-af21a0e5818b/mzaf_11222888484211938711.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music69/v4/4a/ae/21/4aae21b5-7037-2e96-1565-e29159cd342a/dj.auujolgp.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music69/v4/4a/ae/21/4aae21b5-7037-2e96-1565-e29159cd342a/dj.auujolgp.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music69/v4/4a/ae/21/4aae21b5-7037-2e96-1565-e29159cd342a/dj.auujolgp.jpg/100x100bb.jpg,9.99,1.29,2016-03-18T07:00:00Z,notExplicit,notExplicit,1,1,13,13,75987,USA,USD,Electronic,True,,,,
track,song,7274556,275113541,275113570,Mad Cobra,Black Shadow Records Presents: Bad Dog,AA,Black Shadow Records Presents: Bad Dog,AA,https://music.apple.com/us/artist/mad-cobra/7274556?uo=4,https://music.apple.com/us/album/aa/275113541?i=275113570&uo=4,https://music.apple.com/us/album/aa/275113541?i=275113570&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/2c/0f/a3/2c0fa395-cf04-5990-61b2-f02f84525685/mzaf_14399736700491963012.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/e1/2a/5d/mzi.ndmozqdz.tif/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/e1/2a/5d/mzi.ndmozqdz.tif/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/e1/2a/5d/mzi.ndmozqdz.tif/100x100bb.jpg,9.99,0.99,2008-02-19T12:00:00Z,notExplicit,notExplicit,1,1,18,6,135743,USA,USD,Reggae,True,36270.0,Various Artists,,
track,song,479756766,1363309866,1363310482,The Weeknd,"My Dear Melancholy,",Call Out My Name,"My Dear Melancholy,",Call Out My Name,https://music.apple.com/us/artist/the-weeknd/479756766?uo=4,https://music.apple.com/us/album/call-out-my-name/1363309866?i=1363310482&uo=4,https://music.apple.com/us/album/call-out-my-name/1363309866?i=1363310482&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/97/64/46/97644689-c216-a0f6-e0b8-fb28e4c29386/mzaf_13065292673725241118.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2a/aa/b4/2aaab42a-a4cb-a600-4a25-d78961495960/18UMGIM17204.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2a/aa/b4/2aaab42a-a4cb-a600-4a25-d78961495960/18UMGIM17204.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2a/aa/b4/2aaab42a-a4cb-a600-4a25-d78961495960/18UMGIM17204.rgb.jpg/100x100bb.jpg,5.99,1.29,2018-03-30T12:00:00Z,explicit,notExplicit,1,1,6,1,228382,USA,USD,R&B/Soul,True,,,,
track,song,193167653,1473148903,1473148905,"Tainy, Anuel AA & Ozuna",Adicto - Single,Adicto,Adicto - Single,Adicto,https://music.apple.com/us/artist/tainy/193167653?uo=4,https://music.apple.com/us/album/adicto/1473148903?i=1473148905&uo=4,https://music.apple.com/us/album/adicto/1473148903?i=1473148905&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ce/7c/cf/ce7ccfd5-ecd4-f3e8-7c7e-1b2ddaaae54b/mzaf_10833100502570845989.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/bc/86/c3/bc86c389-d022-cd6e-d8d9-96981621e507/19UMGIM60949.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/bc/86/c3/bc86c389-d022-cd6e-d8d9-96981621e507/19UMGIM60949.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/bc/86/c3/bc86c389-d022-cd6e-d8d9-96981621e507/19UMGIM60949.rgb.jpg/100x100bb.jpg,1.29,1.29,2018-01-01T12:00:00Z,notExplicit,notExplicit,1,1,1,1,270741,USA,USD,Latin,True,,,,
track,song,479756766,1488408555,1488408568,The Weeknd,Blinding Lights - Single,Blinding Lights,Blinding Lights - Single,Blinding Lights,https://music.apple.com/us/artist/the-weeknd/479756766?uo=4,https://music.apple.com/us/album/blinding-lights/1488408555?i=1488408568&uo=4,https://music.apple.com/us/album/blinding-lights/1488408555?i=1488408568&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d6/87/41/d687410c-4714-af1d-e055-3296d4777226/mzaf_16921438337215363475.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/6e/bf/a66ebf79-5008-8948-b352-a790fc87446b/19UM1IM04638.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/6e/bf/a66ebf79-5008-8948-b352-a790fc87446b/19UM1IM04638.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/6e/bf/a66ebf79-5008-8948-b352-a790fc87446b/19UM1IM04638.rgb.jpg/100x100bb.jpg,,,2019-11-29T12:00:00Z,notExplicit,notExplicit,1,1,1,1,201570,USA,USD,R&B/Soul,True,,,,
track,song,479756766,1440871397,1440872304,The Weeknd,Starboy,Die For You,Starboy,Die For You,https://music.apple.com/us/artist/the-weeknd/479756766?uo=4,https://music.apple.com/us/album/die-for-you/1440871397?i=1440872304&uo=4,https://music.apple.com/us/album/die-for-you/1440871397?i=1440872304&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/02/24/b2/0224b209-df06-fd41-b0a4-568c155a1d5f/mzaf_4602401127946019832.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e2/61/f8/e261f8c1-73db-9a7a-c89e-1068f19970e0/16UMGIM67863.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e2/61/f8/e261f8c1-73db-9a7a-c89e-1068f19970e0/16UMGIM67863.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e2/61/f8/e261f8c1-73db-9a7a-c89e-1068f19970e0/16UMGIM67863.rgb.jpg/100x100bb.jpg,9.99,1.29,2016-11-25T12:00:00Z,explicit,notExplicit,1,1,18,17,260256,USA,USD,R&B/Soul,True,,,,
